Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

Simple Syrup,,item,Food,newKey,Simple Syrup,,,,,,,,Prosty Syrop,,,,,,

farmLifeSimpleSyrupDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Garnka w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Apples,,item,Food,newKey,Sliced Apples,,,,,,,,Krojone Jabłka,,,,,,

farmLifeSlicedApplesDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Avocado,,item,Food,newKey,Sliced Avocado,,,,,,,,Krojone Awokado,,,,,,

farmLifeSlicedAvocadoDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Beets,,item,Food,newKey,Sliced Beets,,,,,,,,Krojone Buraki,,,,,,

farmLifeSlicedBeetsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Bread,,item,Food,newKey,Sliced Bread,,,,,,,,Krojony Chleb,,,,,,

farmLifeSlicedBreadDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Broccoli,,item,Food,newKey,Sliced Broccoli,,,,,,,,Krojone Brokuły,,,,,,

farmLifeSlicedBroccoliDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Chicken,,item,Food,newKey,Sliced Chicken,,,,,,,,Krojony Kurczak,,,,,,

farmLifeSlicedChickenDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Sliced Ginger,,item,Food,newKey,Sliced Ginger,,,,,,,,Krojony Imbir,,,,,,

farmLifeSlicedGingerDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Green Bell,,item,Food,newKey,Sliced Green Bell,,,,,,,,Krojona Zielona Papryka,,,,,,

farmLifeSlicedGreenBellDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Ham,,item,Food,newKey,Sliced Ham,,,,,,,,Krojona Szynka,,,,,,

farmLifeSlicedHamDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Zhang Cleaver on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Tasaka Zhang na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Mushrooms,,item,Food,newKey,Sliced Mushrooms,,,,,,,,Krojone Pieczarki,,,,,,

farmLifeSlicedMushroomsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Okra,,item,Food,newKey,Sliced Okra,,,,,,,,Krojona Okra,,,,,,

farmLifeSlicedOkraDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Pear,,item,Food,newKey,Sliced Pear,,,,,,,,Krojona Gruszka,,,,,,

farmLifeSlicedPearDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Red Bell,,item,Food,newKey,Sliced Red Bell,,,,,,,,Krojona Czerwona Papryka,,,,,,

farmLifeSlicedRedBellDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Sake,,item,Food,newKey,Sliced Sake,,,,,,,,Krojony Łosoś (Sake),,,,,,

farmLifeSlicedSakeDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Sliced Squash,,item,Food,newKey,Sliced Squash,,,,,,,,Krojona Dynia,,,,,,

farmLifeSlicedSquashDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Steak,,item,Food,newKey,Sliced Steak,,,,,,,,Krojony Stek,,,,,,

farmLifeSlicedSteakDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sliced Yellow Bell,,item,Food,newKey,Sliced Yellow Bell,,,,,,,,Krojona Żółta Papryka,,,,,,

farmLifeSlicedYellowBellDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Smoked Bacon,,item,Food,newKey,Smoked Bacon,,,,,,,,Wędzony Bekon,,,,,,

farmLifeSmokedBaconDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Smoker Mat on a Cold Smoker. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Maty do Wędzenia w Zimnej Wędzarni. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Smoked Chicken,,item,Food,newKey,Smoked Chicken,,,,,,,,Wędzony Kurczak,,,,,,

farmLifeSmokedChickenDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Turkey Rack on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Stojaka na Indyka w Zimnej Wędzarni. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Smoked Ham,,item,Food,newKey,Smoked Ham,,,,,,,,Wędzona Szynka,,,,,,

Smoked Pork Ribs,,item,Food,newKey,Smoked Pork Ribs,,,,,,,,Wędzone Żeberka Wieprzowe,,,,,,

farmLifeSmokedPorkRibsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Meat Hanger on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Haka na Mięso w Zimnej Wędzarni. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Smoked Salmon,,item,Food,newKey,Smoked Salmon,,,,,,,,Wędzony Łosoś,,,,,,

farmLifeSmokedSalmonDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Smoked Turkey,,item,Food,newKey,Smoked Turkey,,,,,,,,Wędzony Indyk,,,,,,

farmLifeSmokedTurkeyDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nTry the Turkey Rack on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWypróbuj Stojak na Indyka w Zimnej Wędzarni. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Smoker Mat,,item,Food,newKey,Smoker Mat,,,,,,,,Mata do Wędzenia,,,,,,

farmLifeSmokerMatDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Anvil on a Forge. The Smoker Mat is a tool used in the Cold Smoker for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Kowadła w Kuźni. Mata do Wędzenia to narzędzie używane do rzemiosła w Zimnej Wędzarni.,,,,,,

Sorghum,,item,Food,newKey,Sorghum,,,,,,,,Sorgo,,,,,,

farmLifeSorghumDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Soy Bean,,item,Food,newKey,Soy Bean,,,,,,,,Soja,,,,,,

farmLifeSoyBeanDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spaghetti,,item,Food,newKey,Spaghetti,,,,,,,,Spaghetti,,,,,,

farmLifeSpaghettiDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Pasta Helper on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Maszynki do Makaronu w KitchNaid. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Spaghetti and Meatballs,,item,Food,newKey,Spaghetti and Meatballs,,,,,,,,Spaghetti z Klopsikami,,,,,,

farmLifeSpaghettiandMeatballsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Garnka w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spanish Rice,,item,Food,newKey,Spanish Rice,,,,,,,,Ryż Hiszpański,,,,,,

Spatula,,item,Food,newKey,Spatula,,,,,,,,Łopatka,,,,,,

farmLifeSpatulaDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the crucible with a Forge. The Spatula is a tool used in the Wood Grill for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj tygla w Kuźni. Łopatka to narzędzie używane do rzemiosła na Drewnianym Grillu.,,,,,,

Spicy BBQ Sauce,,item,Food,newKey,Spicy BBQ Sauce,,,,,,,,Pikantny Sos BBQ,,,,,,

farmLifeSpicyBBQSauceDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Garnka w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spicy Chicken Wings,,item,Food,newKey,Spicy Chicken Wings,,,,,,,,Pikantne Skrzydełka z Kurczaka,,,,,,

farmLifeSpicyChickenWingsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Szczypiec na Drewnianym Grillu. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spicy Elk Jerky,,item,Food,newKey,Spicy Elk Jerky,,,,,,,,Pikantne Suszone Mięso z Łosia,,,,,,

farmLifeSpicyElkJerkyDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Maty do Wędzenia w Zimnej Wędzarni. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spicy Salmon Roll,,item,Food,newKey,Spicy Salmon Roll,,,,,,,,Rolka z Pikantnego Łososia,,,,,,

farmLifeSpicySalmonRollDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Rolling Mat on a (null). Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Maty do Zwijania na (null). Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spicy Salsa,,item,Food,newKey,Spicy Salsa,,,,,,,,Pikantna Salsa,,,,,,

farmLifeSpicySalsaDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Veggie Attachment on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Przystawki do Warzyw w KitchNaid. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spinach,,item,Food,newKey,Spinach,,,,,,,,Szpinak,,,,,,

farmLifeSpinachDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Spirits Vat,,item,Food,newKey,Spirits Vat,,,,,,,,Kadź na Alkohole,,,,,,

farmLifeSpiritsVatDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse a Workbench. The Spirits Vat is a tool used in the Brew Station for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Stołu Roboczego. Kadź na Alkohole to narzędzie używane do rzemiosła na Stacji Piwowarskiej.,,,,,,

Spouted Barley,,item,Food,newKey,Spouted Barley,,,,,,,,Kiełkowany Jęczmień,,,,,,

farmLifeSpoutedBarleyDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Malting Trays on a Brew Station. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Tac Słodowniczych na Stacji Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Spouted Rye,,item,Food,newKey,Spouted Rye,,,,,,,,Kiełkowane Żyto,,,,,,

farmLifeSpoutedRyeDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Malting Trays on a Brew Station. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Tac Słodowniczych na Stacji Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Spouted Sorghum,,item,Food,newKey,Spouted Sorghum,,,,,,,,Kiełkowane Sorgo,,,,,,

farmLifeSpoutedSorghumDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Malting Trays on a Brew Station. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Tac Słodowniczych na Stacji Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Squash,,item,Food,newKey,Squash,,,,,,,,Dynia,,,,,,

farmLifeSquashDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,


Sriracha,,item,Food,newKey,Sriracha,,,,,,,,Sriracha,,,,,,
Steak Burrito,,item,Food,newKey,Steak Burrito,,,,,,,,Burrito ze Stekiem,,,,,,
Steamed Broccoli,,item,Food,newKey,Steamed Broccoli,,,,,,,,Brokuły na Parze,,,,,,


farmLifeSteamedBroccoliDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Garnka w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Steeped Barley,,item,Food,newKey,Steeped Barley,,,,,,,,Namoczony Jęczmień,,,,,,

farmLifeSteepedBarleyDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Steeping Tun on a Braustation. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Kadzi Zaciernej na Stacji Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Steeped Rye,,item,Food,newKey,Steeped Rye,,,,,,,,Namoczone Żyto,,,,,,

farmLifeSteepedRyeDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Steeping Tun on a Brew Station. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Kadzi Zaciernej na Stacji Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Steeped Sorghum,,item,Food,newKey,Steeped Sorghum,,,,,,,,Namoczone Sorgo,,,,,,

farmLifeSteepedSorghumDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Steeping Tun on a Brew Station. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Kadzi Zaciernej na Stacji Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Still,,item,Food,newKey,Still,,,,,,,,Destylator,,,,,,

farmLifeStillDesc,,item,Food,newKey,Type: Advanced Farming(Tool and Die Set required to craft.)Sand/Clay\nUnlocked by: Farm Forge\n\nThe Still is a tool used in the Brew Cooker for crafting.,,,,,,,,Typ: Zaawansowane Rolnictwo (Wymagany Zestaw Matryc i Narzędzi.) Piasek/Glina\nOdblokowane przez: Kuźnia FarmLife\n\nDestylator to narzędzie używane do rzemiosła na Kuchence Piwowarskiej.,,,,,,

Stir Fry Vegetables,,item,Food,newKey,Stir Fry Vegetables,,,,,,,,Warzywa Stir Fry,,,,,,

farmLifeStirFryVegetablesDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Wok on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Woka w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Strawberry,,item,Food,newKey,Strawberry,,,,,,,,Truskawka,,,,,,

farmLifeStrawberryDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Strawberry Ice Cream,,item,Food,newKey,Strawberry Ice Cream,,,,,,,,Lody Truskawkowe,,,,,,

farmLifeStrawberryIceCreamDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Miski do Lodów w KitchNaid. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Sugar Cane,,item,Food,newKey,Sugar Cane,,,,,,,,Trzcina Cukrowa,,,,,,

farmLifeSugarCaneDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSugar Cane can be scrapped into Raw Sugar for cooking and crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nTrzcinę Cukrową można przetworzyć na Surowy Cukier do gotowania i rzemiosła.,,,,,,

Thyme,,item,Food,newKey,Thyme,,,,,,,,Tymianek,,,,,,

farmLifeThymeDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Tomatillo,,item,Food,newKey,Tomatillo,,,,,,,,Miechunka Pomidorowa,,,,,,

farmLifeTomatilloDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Tomato,,item,Food,newKey,Tomato,,,,,,,,Pomidor,,,,,,

farmLifeTomatoDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

